question,label
请问a的籍贯是哪里？,0
你知道a的籍贯吗？,0
a是哪的人？,0
a是哪里人？,0
a的家乡在哪里？,0
a来自哪里？,0
a的老家是哪里？,0
你知道a是哪里人吗？,0
请问a的家乡是哪里？,0
a的籍贯是哪里？,0
a来自哪里？,0
你知道a是哪的人吗？,0
a的籍贯是哪里？,0
a的籍贯是哪？,0
a是哪个地方的人？,0
a的家乡是哪里？,0
a的老家是哪里？,0
a的故乡是哪里？,0
a来自哪里？,0
a是哪的人？,0
请问a的家乡是哪里？,0
你知道a的故乡吗？,0
a的籍贯是哪里？,0
a的老家是哪里？,0
a是哪的人？,0
请问a是哪里人？,0
a来自什么地方？,0
a的故乡是哪里？,0
a的家乡是哪？,0
你知道a是哪里人吗？,0
a来自什么地方？,0
a的籍贯是哪里？,0
请问a的籍贯是哪里？,0
你知道a的家乡在哪里吗？,0
a是哪的人？,0
a的故乡是哪里？,0
a的老家在哪？,0
请问a的故乡是哪里？,0
你知道a的老家吗？,0
a是哪的人？,0
a的家乡是哪里？,0
请问a是哪的人？,0
a的故乡在哪里？,0
你知道a是哪里人吗？,0
a的家乡在哪里？,0
a的籍贯是哪里？,0
请问a的籍贯是哪？,0
a是哪地方的人？,0
a来自哪里？,0
a的故乡是哪？,0
你知道a的家乡吗？,0
a的老家是哪里？,0
请问a的老家是哪里？,0
a的籍贯是哪里？,0
你知道a的籍贯吗？,0
a来自什么地方？,0
请问a的故乡是哪里？,0
a的家乡是哪？,0
你知道a的家乡在哪里吗？,0
a的老家在哪里？,0
a是哪地方的人？,0
请问a是哪地方的人？,0
a的故乡在哪里？,0
你知道a来自哪里吗？,0
a的籍贯是哪里？,0
请问a的籍贯是哪里？,0
a的故乡是哪里？,0
你知道a的籍贯吗？,0
a来自哪里？,0
a的老家是哪里？,0
请问a的家乡是哪里？,0
你知道a的籍贯吗？,0
a的家乡是哪里？,0
a的故乡是哪里？,0
请问a的老家是哪里？,0
你知道a的籍贯是哪里吗？,0
